FILENAME	Isolate	PubMLSTID	Accn1	Country	Continent	Region	Year	Source	DetailedSource	Serogroup	cgST(cgMLST)	Threshold7(outbreak)	Threshold133(sublineage)	Biotype	Completeness(%)	"ST(Kirchbergeretal.,2016)"	ST(Octaviaetal2013)
GCF_000754625.1_ASM75462v1.fasta	Vc_5_66	1381	GCA_000754625.1	Tanzania	Africa	Morogoro	1966	human	clinical	O1	203	274	5	6th Pandemic Classical	95.49733934	30	73
GCF_000348105.2_ASM34810v2.fasta	Vc_95412	1536	GCA_000348105.2	Mexico	North America			environmental		O1	594	161	5	6th Pandemic Classical	98.93573475	30	73
GCF_001471455.2_ASM147145v2.fasta	Vc_ATCC_11629	1556	GCA_001471455.2	Unknown				environmental		O1	258	12	5	6th Pandemic Classical	98.56733524	30	73
GCF_000961975.1_ASM96197v1.fasta	Vc_D-35	1705	GCA_000961975.1	Bangladesh	Asia	Dakka	1958	human	clinical	O1	221	286	5	6th Pandemic Classical	94.31027425	13	73
GCF_001525525.2_ASM152552v2.fasta	Vc_ATCC_25874	1558	GCA_001525525.2	India	Asia	Calcutta	1963	human	clinical	Non-O1	208	52	3	Classical sister	99.05853459	98	68
GCF_000348045.2_ASM34804v2.fasta	Vc_116059	1537	GCA_000348045.2	Brazil	South America		1992	human	clinical	O1	548	33	6	El Tor	99.50880065	1	69
GCF_002076185.1_ASM207618v1.fasta	Vc_11S	1388	GCA_002076185.1	Tanzania	Africa	Singida	2015	human	clinical	O1	157	3	6	El Tor	100	1	69
GCF_001253035.1_5174_5_1.fasta	Vc_1346	1421	GCA_001253035.1	Mozambique	Africa		2005	human	clinical	O1	76	47	6	El Tor	99.95906672	1	69
GCF_001260295.1_5174_6_10.fasta	Vc_1362	1422	GCA_001260295.1	Mozambique	Africa		2005	human	clinical	O1	142	47	6	El Tor	99.95906672	1	69
GCF_002196105.1_ASM219610v1.fasta	Vc_147	1406	GCA_002196105.1	Ukraine	Europe	Yalta	2016	environmental		O1	259	71	6	El Tor	98.69013508	1	69
GCF_002204095.1_ASM220409v1.fasta	Vc_153	1407	GCA_002204095.1	Ukraine	Europe	Mariupol	2011	human	clinical	O1	58	3	6	El Tor	96.47973803	1	69
GCF_002196155.1_ASM219615v1.fasta	Vc_155	1408	GCA_002196155.1	Ukraine	Europe	Mariupol		human	clinical	O1	436	259	6	El Tor	98.97666803	1	69
GCF_001247835.1_5174_7_1.fasta	Vc_1627	1424	GCA_001247835.1	Mozambique	Africa		2005	human	clinical	O1	462	47	6	El Tor	99.95906672	1	69
GCF_002078825.1_ASM207882v1.fasta	Vc_17609	1526	GCA_002078825.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	135	2	6	El Tor	99.91813344	1	69
GCF_003015005.1_ASM301500v1.fasta	Vc_186	2508	GCA_003015005.1	Ukraine	Europe	Mariupol	2011	environmental			683	3	6	El Tor	99.30413426	1	69
GCF_002078715.1_ASM207871v1.fasta	Vc_19886	1527	GCA_002078715.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	135	2	6	El Tor	99.91813344	1	69
GCF_002076425.1_ASM207642v1.fasta	Vc_1Mo	1379	GCA_002076425.1	Tanzania	Africa	Morogoro	2015	human	clinical	O1	127;983	3	6	El Tor	100	1	69
GCF_000237405.1_ASM23740v2.fasta	Vc_2009V-1046	1425	GCA_000237405.2	USA	North America		2009	human	clinical	O1	579	213	6	El Tor	99.91813344	1	69
GCF_000237425.1_ASM23742v2.fasta	Vc_2009V-1085	1426	GCA_000237425.2	USA	North America		2009	human	clinical	O1	336	42	6	El Tor	99.87720016	1	69
GCF_000237445.1_ASM23744v2.fasta	Vc_2009V-1096	1427	GCA_000237445.2	USA	North America		2009	human	clinical	O1	272	42	6	El Tor	99.83626688	1	69
GCF_000237465.1_ASM23746v2.fasta	Vc_2009V-1116	1428	GCA_000237465.2	USA	North America		2009	human	clinical	O1	540	44	6	El Tor	99.95906672	1	69
GCF_000237485.1_ASM23748v2.fasta	Vc_2009V-1131	1429	GCA_000237485.2	USA	North America		2009	human	clinical	O1	284	19	6	El Tor	99.34506754	1	69
GCF_000788425.1_ASM78842v1.fasta	Vc_2010AA-142	1431	GCA_000788425.1	Haiti	North America	Artibonite	2010	human	clinical	O1	10	3	6	El Tor	98.56733524	1	69
GCF_000788415.1_ASM78841v1.fasta	Vc_2010AA-143	1432	GCA_000788415.1	Haiti	North America	Artibonite	2010	human	clinical	O1	230	3	6	El Tor	98.60826852	1	69
GCF_000788435.1_ASM78843v1.fasta	Vc_2010AA-144	2044	GCA_000788435.1	Haiti	North America	Artibonite	2010	human	clinical	O1	214	3	6	El Tor	98.36266885	1	69
GCF_000788535.1_ASM78853v1.fasta	Vc_2010AA-145	1433	GCA_000788535.1	Haiti	North America	Artibonite	2010	human	clinical	O1	10	3	6	El Tor	98.69013508	1	69
GCF_000788555.1_ASM78855v1.fasta	Vc_2010AA-146	1434	GCA_000788555.1	Haiti	North America	Artibonite	2010	human	clinical	O1	10	3	6	El Tor	98.73106836	1	69
GCF_000788575.1_ASM78857v1.fasta	Vc_2010AA-147	1435	GCA_000788575.1	Haiti	North America	Artibonite	2010	human	clinical	O1	10	3	6	El Tor	98.56733524	1	69
GCF_000788615.1_ASM78861v1.fasta	Vc_2010AA-150	2045	GCA_000788615.1	Haiti	North America	Artibonite	2010	human	clinical	O1	10	3	6	El Tor	98.0761359	1	69
GCF_000788635.1_ASM78863v1.fasta	Vc_2010AA-151	2046	GCA_000788635.1	Haiti	North America	Artibonite	2010	human	clinical	O1	10	3	6	El Tor	98.48546869	1	69
GCF_000166495.1_ASM16649v2.fasta	Vc_2010EL-1792	1437	GCA_000166495.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.91813344	1	69
GCF_000166475.1_ASM16647v2.fasta	Vc_2010EL-1798	1438	GCA_000166475.2	Haiti	North America		2010	human	clinical	O1	80	3	6	El Tor	99.95906672	1	69
GCF_000237525.1_ASM23752v2.fasta	Vc_2010EL-1961	1439	GCA_000237525.2	Haiti	North America		2010	human	clinical	O1	428	3	6	El Tor	99.79533361	1	69
GCF_000237545.1_ASM23754v2.fasta	Vc_2010EL-2010H	1440	GCA_000237545.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.91813344	1	69
GCF_000237565.1_ASM23756v2.fasta	Vc_2010EL-2010N	1441	GCA_000237565.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.83626688	1	69
GCF_000237585.1_ASM23758v2.fasta	Vc_2010V-1014	1442	GCA_000237585.2	Pakistan	Asia		2010	human	clinical	O1	511	183	6	El Tor	99.71346705	1	69
GCF_000237605.1_ASM23760v2.fasta	Vc_2011EL-1089	1445	GCA_000237605.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.87720016	1	69
GCF_000237625.1_ASM23762v2.fasta	Vc_2011El-1133-SRR	2097	GCA_000237625.2	Haiti	North America		2011	human	clinical		355	3	6	El Tor	100	1	69
GCF_000237645.1_ASM23764v2.fasta	Vc_2011EL-1137	1446	GCA_000237645.2	Zimbabwe	Africa		2009	human	clinical	O1	100	44	6	El Tor	99.95906672	1	69
GCF_000257415.2_ASM25741v2.fasta	Vc_2011EL-301	1444	GCA_000257415.2	Russia	Asia	Taganrog	2011	environmental		O1	455	19	6	El Tor	99.83626688	1	69
GCF_000237665.1_ASM23766v2.fasta	Vc_2011V-1021	1448	GCA_000237665.2	Dominican Republic	North America		2011	human	clinical	O1	10	3	6	El Tor	99.91813344	1	69
GCF_000765415.1_ASM76541v1.fasta	Vc_2012EL-2176	1450	GCA_000765415.1	Haiti	North America		2012	human	clinical	O1	12	3	6	El Tor	99.95906672	1	69
GCF_000788655.1_ASM78865v1.fasta	Vc_2012Env-131	1454	GCA_000788655.1	Haiti	North America	Leogane Bridge	2012	environmental		O1	3	3	6	El Tor	99.67253377	1	69
GCF_000788735.1_ASM78873v1.fasta	Vc_2012Env-90	1452	GCA_000788735.1	Haiti	North America	Gressier	2012	environmental		O1	12	3	6	El Tor	99.34506754	1	69
GCF_000788855.1_ASM78885v1.fasta	Vc_2012Env-94	1453	GCA_000788855.1	Haiti	North America	Gressier	2012	environmental		O1	12	3	6	El Tor	99.05853459	1	69
GCF_000788875.1_ASM78887v1.fasta	Vc_2012HC-07	1455	GCA_000788875.1	Haiti	North America	Gressier	2012	human	clinical	O1	175	3	6	El Tor	99.83626688	1	69
GCF_000789115.1_ASM78911v1.fasta	Vc_2012HC-08	1456	GCA_000789115.1	Haiti	North America	Gressier	2012	human	clinical	O1	175	3	6	El Tor	99.95906672	1	69
GCF_000789135.1_ASM78913v1.fasta	Vc_2012HC-10	1457	GCA_000789135.1	Haiti	North America	Gressier	2012	human	clinical	O1	384	3	6	El Tor	99.91813344	1	69
GCF_000789035.1_ASM78903v1.fasta	Vc_2012HC-11	1458	GCA_000789035.1	Haiti	North America	Gressier	2012	human	clinical	O1	273	3	6	El Tor	100	1	69
GCF_000789155.1_ASM78915v1.fasta	Vc_2012HC-12	1459	GCA_000789155.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	99.95906672	1	69
GCF_000789075.1_ASM78907v1.fasta	Vc_2012HC-15	1460	GCA_000789075.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	99.91813344	1	69
GCF_000789055.1_ASM78905v1.fasta	Vc_2012HC-16	1461	GCA_000789055.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	99.91813344	1	69
GCF_000788915.1_ASM78891v1.fasta	Vc_2012HC-17	1462	GCA_000788915.1	Haiti	North America	Gressier	2012	human	clinical	O1	395	3	6	El Tor	100	1	69
GCF_000788895.1_ASM78889v1.fasta	Vc_2012HC-18	1463	GCA_000788895.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	99.34506754	1	69
GCF_000789095.1_ASM78909v1.fasta	Vc_2012HC-19	1464	GCA_000789095.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	99.50880065	1	69
GCF_000788995.1_ASM78899v1.fasta	Vc_2012HC-21	1465	GCA_000788995.1	Haiti	North America	Gressier	2012	human	clinical	O1	569	3	6	El Tor	99.46786738	1	69
GCF_000789015.1_ASM78901v1.fasta	Vc_2012HC-22	2051	GCA_000789015.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	98.89480147	1	69
GCF_000788795.1_ASM78879v1.fasta	Vc_2012HC-24	1466	GCA_000788795.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	99.59066721	1	69
GCF_000788835.1_ASM78883v1.fasta	Vc_2012HC-31	1467	GCA_000788835.1	Haiti	North America	Gressier	2012	human	clinical	O1	499	3	6	El Tor	99.4269341	1	69
GCF_000788935.1_ASM78893v1.fasta	Vc_2012HC-32	1468	GCA_000788935.1	Haiti	North America	Gressier	2012	human	clinical	O1	291	3	6	El Tor	99.91813344	1	69
GCF_000788975.1_ASM78897v1.fasta	Vc_2012HC-33	2053	GCA_000788975.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	99.59066721	1	69
GCF_000788815.1_ASM78881v1.fasta	Vc_2012HC-34	1469	GCA_000788815.1	Haiti	North America	Gressier	2012	human	clinical	O1	156	3	6	El Tor	99.38600082	1	69
GCF_000788955.1_ASM78895v1.fasta	Vc_2012HC-35	1470	GCA_000788955.1	Haiti	North America	Gressier	2012	human	clinical	O1	12	3	6	El Tor	99.63160049	1	69
GCF_002078815.1_ASM207881v1.fasta	Vc_20390	1528	GCA_002078815.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	135	2	6	El Tor	99.91813344	1	69
GCF_002076785.1_ASM207678v1.fasta	Vc_20478	1529	GCA_002076785.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	135	2	6	El Tor	99.91813344	1	69
GCF_002078705.1_ASM207870v1.fasta	Vc_21027	1530	GCA_002078705.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	269	2	6	El Tor	99.91813344	1	69
