FILE	9t	133t	1189t
GCF_000166475.1_ASM16647v2.fasta	1	1	1
GCF_000166495.1_ASM16649v2.fasta	1	1	1
GCF_000220725.1_ASM22072v2.fasta	1	1	1
GCF_000220745.2_ASM22074v3.fasta	1	1	1
GCF_000220765.2_ASM22076v3.fasta	1	1	1
GCF_000220785.1_ASM22078v2.fasta	1	1	1
GCF_000221385.1_ASM22138v1.fasta	1	1	1
GCF_000221425.1_ASM22142v1.fasta	1	1	1
GCF_000221445.1_ASM22144v1.fasta	1	1	1
GCF_000234375.1_ASM23437v2.fasta	1	1	1
GCF_000234395.1_ASM23439v2.fasta	1	1	1
GCF_000234415.1_ASM23441v2.fasta	1	1	1
GCF_000234435.1_ASM23443v2.fasta	1	1	1
GCF_000234455.2_ASM23445v3.fasta	1	1	1
GCF_000234885.1_ASM23488v1.fasta	1	1	1
GCF_000234905.1_ASM23490v1.fasta	1	1	1
GCF_000234925.1_ASM23492v1.fasta	1	1	1
GCF_000234945.1_ASM23494v1.fasta	1	1	1
GCF_000234965.1_ASM23496v1.fasta	1	1	1
GCF_000237405.1_ASM23740v2.fasta	1	1	1
GCF_000237425.1_ASM23742v2.fasta	1	1	1
GCF_000237445.1_ASM23744v2.fasta	1	1	1
GCF_000237465.1_ASM23746v2.fasta	1	1	1
GCF_000237485.1_ASM23748v2.fasta	1	1	1
GCF_000237525.1_ASM23752v2.fasta	1	1	1
GCF_000237545.1_ASM23754v2.fasta	1	1	1
GCF_000237565.1_ASM23756v2.fasta	1	1	1
GCF_000237585.1_ASM23758v2.fasta	1	1	1
GCF_000237605.1_ASM23760v2.fasta	1	1	1
GCF_000237625.1_ASM23762v2.fasta	1	1	1
GCF_000237645.1_ASM23764v2.fasta	1	1	1
GCF_000237665.1_ASM23766v2.fasta	1	1	1
GCF_000237685.1_ASM23768v2.fasta	1	1	1
GCF_000237705.1_ASM23770v2.fasta	1	1	1
GCF_000237725.1_ASM23772v2.fasta	1	1	1
GCF_000237745.1_ASM23774v2.fasta	1	1	1
GCF_000237765.1_ASM23776v2.fasta	1	1	1
GCF_000257415.2_ASM25741v2.fasta	1	1	1
GCF_000275645.1_ASM27564v1.fasta	1	1	1
GCF_000279245.1_ASM27924v1.fasta	1	1	1
GCF_000279265.1_ASM27926v1.fasta	1	1	1
GCF_000279285.1_ASM27928v1.fasta	1	1	1
GCF_000279305.1_ASM27930v1.fasta	1	1	1
GCF_000279325.1_ASM27932v1.fasta	1	1	1
GCF_000279345.1_ASM27934v1.fasta	1	1	1
GCF_000279395.1_ASM27939v1.fasta	1	1	1
GCF_000279415.1_ASM27941v1.fasta	1	1	1
GCF_000279435.1_ASM27943v1.fasta	1	1	1
GCF_000279555.1_ASM27955v1.fasta	1	1	1
GCF_000281655.1_ASM28165v1.fasta	1	1	1
GCF_000299495.2_VC35.1.fasta	1	1	1
GCF_000299515.2_VC1761.1.fasta	1	1	1
GCF_000299535.2_VC4370.1.fasta	1	1	1
GCF_000302835.1_ASM30283v1.fasta	1	1	1
GCF_000302875.1_ASM30287v1.fasta	1	1	1
GCF_000302965.1_ASM30296v1.fasta	1	1	1
GCF_000303005.1_ASM30300v1.fasta	1	1	1
GCF_000303045.1_ASM30304v1.fasta	1	1	1
GCF_000304755.1_ASM30475v1.fasta	1	1	1
GCF_000304775.1_ASM30477v1.fasta	1	1	1
GCF_000304795.1_ASM30479v1.fasta	1	1	1
GCF_000304935.2_ASM30493v2.fasta	1	1	1
GCF_000305015.2_ASM30501v2.fasta	1	1	1
GCF_000305055.2_ASM30505v2.fasta	1	1	1
GCF_000305075.2_ASM30507v2.fasta	1	1	1
GCF_000305095.2_ASM30509v2.fasta	1	1	1
